/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 14:05:52 CET 2022

command file:     verblex_past.q
output file:      verblex_past.out

Lexicon:  
*/

/*  ~A~  */
$+ateowde +ateowde 2: [2 VBD] 
bi-gon 3: [3 VBD] 
bi-heolt 1: [1 VBD] 
bi-het 1: [1 VBD] 
bi-hete 1: [1 VBD] 
bi-houed 1: [1 VBD] 
bi-houede 1: [1 VBD] 
bi-lefden 1: [1 VBD] 
bi-leued 1: [1 VBD] 
bi-luuede 1: [1 VBD] 
bi-nam 2: [2 VBD] 
bi-sohten 1: [1 VBD] 
bi-sou+gt 1: [1 VBD] 
bi-tahte 2: [2 VBD] 
bi-wiepen 1: [1 VBD] 
bi-wipen 1: [1 VBD] 
bi-wisten 1: [1 VBD] 
bi-won 2: [2 VBD] 
bi-wopen 1: [1 VBD] 
biburiede 1: [1 VBD] 
biburieden 2: [2 VBD] 
bicam 6: [6 VBD] 
bicapede 1: [1 VBD] 
bicherde 1: [1 VBD] 
biclupde 1: [1 VBD] 
bicom Bicom 13: [13 VBD] 
bicome 44: [44 VBD] 
bicomen 3: [3 VBD] 
bid 1: [1 VBD] 
biden 1: [1 VBD] 
biet 1: [1 VBD] 
bifel 9: [9 VBD] 
bifelde 5: [5 VBD] 
bifelle 30: [30 VBD] 
bifore 4: [3 VBD21] [1 VBD] 
biforeknew 1: [1 VBD] 
biforeseide 1: [1 VBD] 
bigan 21: [21 VBD] 
bigann Bigann 13: [13 VBD] 
biganne 10: [10 VBD] 
bigat 2: [2 VBD] 
bigate 14: [14 VBD] 
biget 1: [1 VBD] 
bigged 2: [2 VBD] 
biggid 2: [2 VBD] 
bigon Bigon 48: [48 VBD] 
bigonne 8: [8 VBD] 
bigrap 2: [2 VBD] 
bigripenn 1: [1 VBD] 
bigunne 3: [3 VBD] 
bigunnen 7: [7 VBD] 
bigunnenn 1: [1 VBD] 
bihalde 1: [1 VBD] 
bihalt 1: [1 VBD] 
bihat 2: [2 VBD] 
bihe 1: [1 VBD] 
biheeld 1: [1 VBD] 
bihelde 3: [3 VBD] 
bihelden 3: [3 VBD] 
bihengen 1: [1 VBD] 
biheold 9: [9 VBD] 
biheolden 2: [2 VBD] 
biheolt 10: [10 VBD] 
bihet 8: [8 VBD] 
bihete 2: [2 VBD] 
biheten 5: [5 VBD] 
bihi+gt 1: [1 VBD] 
bihi+gte 4: [4 VBD] 
bihi+gten 3: [3 VBD] 
bihield 2: [2 VBD] 
bihielden 1: [1 VBD] 
bihight 2: [2 VBD] 
bihofde 1: [1 VBD] 
bihofte 1: [1 VBD] 
bihoten 1: [1 VBD] 
bihouede 1: [1 VBD] 
biknewe 1: [1 VBD] 
bil+af 4: [4 VBD] 
bilai 1: [1 VBD] 
bilammp 4: [4 VBD] 
bildide 10: [10 VBD] 
bildiden 1: [1 VBD] 
bileafde 1: [1 VBD] 
bileafden 1: [1 VBD] 
bileeuede 3: [3 VBD] 
bilefde 1: [1 VBD] 
bilefden 2: [2 VBD] 
bileued 3: [3 VBD] 
bileuede 4: [4 VBD] 
bileueden 17: [17 VBD] 
bilid 1: [1 VBD] 
bilihte 1: [1 VBD] 
bilongede 1: [1 VBD] 
bimurneden 1: [1 VBD] 
binam 2: [2 VBD] 
binom 3: [3 VBD] 
binome 4: [4 VBD] 
bipehte 2: [2 VBD] 
biqua+t 1: [1 VBD] 
bique+d 1: [1 VBD] 
bireafde 1: [1 VBD] 
bireueden 4: [4 VBD] 
biried 3: [3 VBD] 
birieden 1: [1 VBD] 
birrde 13: [13 VBD] 
birrdenn 1: [1 VBD] 
biryede 1: [1 VBD] 
biseegeden 1: [1 VBD] 
biseegide 1: [1 VBD] 
bisegede 8: [8 VBD] 
bisegeden 1: [1 VBD] 
bisegide 2: [2 VBD] 
biseh 6: [6 VBD] 
bisemde 1: [1 VBD] 
$bisenchte 1: [1 VBD] 
bisencte 1: [1 VBD] 
bisochten 1: [1 VBD] 
bisoghte 1: [1 VBD] 
bisohte Bisohte 6: [6 VBD] 
bisohten 1: [1 VBD] 
bisou+gte 3: [3 VBD] 
bispeken 1: [1 VBD] 
bistearede 1: [1 VBD] 
bistreweden 1: [1 VBD] 
bisyed 1: [1 VBD] 
bit 3: [3 VBD] 
bitacne+de 1: [1 VBD] 
bitacnede 2: [2 VBD] 
bitahte 8: [8 VBD] 
bitahten 1: [1 VBD] 
bitahtte 1: [1 VBD] 
$bitimde 1: [1 VBD] 
bitoke 4: [4 VBD] 
bitoken 1: [1 VBD] 
bitokenede 1: [1 VBD] 
bitook 7: [7 VBD] 
bitooke 1: [1 VBD] 
bitrumede 1: [1 VBD] 
bitunde 2: [2 VBD] 
bitunede 1: [1 VBD] 
biturde 1: [1 VBD] 
biuonge 1: [1 VBD] 
biwakeden 1: [1 VBD] 
biwalden 1: [1 VBD] 
biwende 1: [1 VBD] 
biweylide 2: [2 VBD] 
biwiep 2: [2 VBD] 
biwistest 2: [2 VBD] 
biwokenn 1: [1 VBD] 
biwunden 1: [1 VBD] 
biyldeden 1: [1 VBD] 
blakede 1: [1 VBD] 
blamed 7: [7 VBD] 
blamede 3: [3 VBD] 
blameden 1: [1 VBD] 
blamyd $blamyd 5: [5 VBD] 
blamyde 1: [1 VBD] 
blasede 1: [1 VBD] 
blasfemede 2: [2 VBD] 
blasfemeden 2: [2 VBD] 
blasfemyd 1: [1 VBD] 
blasfemyde 1: [1 VBD] 
blasphemed 2: [2 VBD] 
blecede 1: [1 VBD] 
bled 2: [2 VBD] 
bledde 9: [9 VBD] 
bledden 1: [1 VBD] 
bleddest 1: [1 VBD] 
blefte 1: [1 VBD] 
blemyschedon 1: [1 VBD] 
blencte 1: [1 VBD] 
blende 1: [1 VBD] 
blenschede 1: [1 VBD] 
blesced 2: [2 VBD] 
blescede 2: [2 VBD] 
blescedest 1: [1 VBD] 
blessed 4: [4 VBD] 
blessid 2: [2 VBD] 
blesside 6: [6 VBD] 
blessyd 4: [4 VBD] 
blessyde 1: [1 VBD] 
blessyth 2: [2 VBD] 
bleu 1: [1 VBD] 
blew 4: [4 VBD] 
blewen 2: [2 VBD] 
blewuen 1: [1 VBD] 
blieced 1: [1 VBD] 
blikede 1: [1 VBD] 
blikeden 1: [1 VBD] 
blindfallede 1: [1 VBD] 
