Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;55.921;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.921;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.921;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;55.921;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;55.921;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;55.922;%spl_present;%romance;2%;%transitive
CMAELR3-M23;55.923;%spl_present;%romance;2%;%transitive
CMAELR3-M23;55.924;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;55.924;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;55.924;%spl_present;%romance;2%;%transitive
CMAELR3-M23;55.925;%spl_present;%romance;2%;%transitive
CMAELR3-M23;55.925;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;55.925;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.925;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;55.925;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;55.927;%spl_present;%germanic;%1half;%transitive
CMAELR3-M23;55.929;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.93;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;56.933;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;56.933;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;56.934;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;56.936;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;56.941;%spl_present;%romance;2%;%transitive
CMAELR3-M23;56.941;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;56.943;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;56.943;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;56.943;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;56.943;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;56.943;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;56.943;%spl_present;%romance;2%;%transitive
CMAELR3-M23;56.947;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;56.948;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;56.952;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;57.956;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.957;%spl_present;%germanic;2%;%prep_intransitive
CMAELR3-M23;57.958;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.959;%spl_present;%romance;1%;%transitive
CMAELR3-M23;57.959;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;57.962;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.964;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.966;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.967;%spl_present;%romance;%2half;%transitive
CMAELR3-M23;57.967;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;57.972;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.98;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;57.987;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;57.99;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;57.991;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;58.992;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;58.993;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;58.995;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;58.998;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;58.999;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;58.1;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;58.1001;%spl_present;%germanic;1%;%prep_intransitive
